QA output created by 673
Note: timezone set to local timezone of host "vm01" from archive


Temporal Index
		Log Vol    end(meta)     end(log)
00:10:11.599573	      0          132          132
00:10:11.600627	      0          449          336
00:10:11.623840	      0        18243         2712
00:10:11.719152	      0        82395        11444
00:15:11.633987	      0       101481        61328
00:20:11.634661	      0       111463       110996
00:25:11.633609	      0       121534       160736
00:36:11.627623	      0       131516       266080
00:45:11.633168	      0       131516       359408
00:50:11.633692	      0       141557       409124
01:01:11.627608	      0       151539       514468
01:10:11.627496	      0       151539       607796
01:15:11.633997	      0       161580       657512
01:26:11.627605	      0       171562       762856
01:35:11.633068	      0       171562       856184
01:40:11.633590	      0       181603       905900
01:45:11.632316	      0       191585       955568
01:50:11.635034	      0       201628      1005284
01:55:11.634900	      0       211642      1054976
02:00:11.632153	      0       221624      1104644
02:05:11.634923	      0       231665      1154360
02:15:11.633138	      0       241647      1253696
02:20:11.632717	      0       251659      1303388
02:25:11.634400	      0       261671      1353080
02:30:11.629297	      0       271742      1402820
02:41:11.627016	      0       281724      1508164
02:50:11.634596	      0       281724      1601492
02:55:11.632413	      0       291765      1651208
03:05:11.632795	      0       301747      1750544
03:10:11.631359	      0       311758      1800236
03:15:11.629586	      0       321799      1849952
03:26:11.627243	      0       331781      1955296
03:30:11.632936	      0       331781      1998956
03:35:11.632278	      0       341822      2048672
03:46:11.627532	      0       351804      2154016
03:55:11.634008	      0       351804      2247344
04:00:11.635016	      0       361845      2297060
04:05:11.631967	      0       371827      2346728
04:10:11.631697	      0       381838      2396420
04:15:11.633268	      0       391790      2446064
04:20:11.631868	      0       401861      2495804
04:31:11.624003	      0       411843      2601148
04:42:11.626363	      0       411843      2709216
04:45:11.636160	      0       411843      2744144
04:50:11.634667	      0       421914      2793884
05:01:11.626992	      0       431896      2899228
05:05:11.634181	      0       431896      2942888
05:10:11.631473	      0       441937      2992604
05:21:11.625743	      0       451919      3097948
05:25:11.634871	      0       451919      3141608
05:30:11.634771	      0       461931      3191300
05:35:11.632412	      0       472002      3241040
05:46:11.627626	      0       481984      3346384
05:50:11.633722	      0       481984      3390044
05:55:11.633887	      0       492055      3439784
06:06:11.627452	      0       502037      3545128
06:15:11.634573	      0       502037      3638456
06:20:11.634526	      0       512108      3688196
06:31:11.627626	      0       522090      3793540
06:35:11.634563	      0       522090      3837200
06:40:11.635004	      0       532131      3886916
06:51:11.627448	      0       542113      3992260
07:02:11.627316	      0       542113      4100328
07:05:11.634029	      0       542113      4135256
07:10:11.632093	      0       552154      4184972
07:20:11.634565	      0       562136      4284308
07:25:11.631044	      0       572148      4334000
07:30:11.632062	      0       582130      4383668
07:35:11.632763	      0       592201      4433408
07:46:11.626520	      0       602183      4538752
07:50:11.633402	      0       602183      4582412
07:55:11.635027	      0       612254      4632152
08:05:11.632598	      0       622236      4731488
08:10:11.631897	      0       632247      4781180
08:15:11.635148	      0       642229      4830848
08:20:11.634684	      0       652270      4880564
08:25:11.629001	      0       662252      4930232
08:30:11.632934	      0       672204      4979876
08:35:11.633595	      0       682186      5029544
08:40:11.635144	      0       692168      5079212
08:45:11.634501	      0       702239      5128952
08:50:11.633125	      0       712221      5178620
08:55:11.633551	      0       722173      5228264
09:05:11.633573	      0       732155      5327600
09:10:11.633655	      0       742196      5377316
09:21:11.627524	      0       752178      5482660
09:32:11.627071	      0       752178      5590728
09:35:11.632073	      0       752178      5625656
09:40:11.635013	      0       762219      5675372
09:51:11.626730	      0       772201      5780716
10:00:11.630192	      0       772201      5874044
10:05:11.628518	      0       782272      5923784
10:10:11.635275	      0       792283      5973476
10:15:11.633542	      0       802295      6023168
10:20:11.634477	      0       812277      6072836
10:25:11.634985	      0       822348      6122576
10:36:11.627705	      0       832330      6227920
10:45:11.632105	      0       832330      6321248
10:50:11.632419	      0       842401      6370988
11:01:11.627735	      0       852383      6476332
11:05:11.635215	      0       852383      6519992
11:10:11.632646	      0       862394      6569684
11:15:11.632518	      0       872436      6619400
11:26:11.626262	      0       882418      6724744
11:35:11.634616	      0       882418      6818072
11:40:11.628851	      0       892489      6867812
11:51:11.626126	      0       902471      6973156
12:00:11.632552	      0       902471      7066484
12:05:11.633453	      0       912512      7116200
12:16:11.626944	      0       922494      7221544
12:20:11.631914	      0       922494      7265204
12:25:11.632366	      0       932535      7314920
12:36:11.627311	      0       942517      7420264
12:40:11.629578	      0       942517      7463924
12:45:11.630983	      0       952558      7513640
12:56:11.624792	      0       962540      7618984
13:05:11.633630	      0       962540      7712312
13:10:11.633188	      0       972581      7762028
13:21:11.627589	      0       982563      7867372
13:30:11.632545	      0       982563      7960700
13:35:11.631030	      0       992634      8010440
13:46:11.627017	      0      1002616      8115784
13:55:11.634365	      0      1002616      8209112
14:00:11.634374	      0      1012687      8258852
14:05:11.632182	      0      1022669      8308520
14:10:11.629854	      0      1032680      8358212
14:20:11.631841	      0      1042662      8457548
14:25:11.633827	      0      1052703      8507264
14:36:11.627606	      0      1062685      8612608
14:40:11.633093	      0      1062685      8656268
14:45:11.635266	      0      1072726      8705984
14:56:11.626422	      0      1082708      8811328
15:00:11.634257	      0      1082708      8854988
15:10:11.632896	      0      1092749      8954420
15:21:11.627767	      0      1102731      9059764
15:25:11.635744	      0      1102731      9103424
15:30:11.634020	      0      1112772      9153140
15:40:11.632535	      0      1122754      9252476
15:50:11.633181	      0      1132736      9351812
15:55:11.631865	      0      1142777      9401528
16:05:11.634522	      0      1152759      9500864
16:10:11.630313	      0      1162770      9550556
16:15:11.633627	      0      1172811      9600272
16:26:11.632016	      0      1182793      9705616
16:37:11.627407	      0      1182793      9813684
16:40:11.634692	      0      1182793      9848612
16:45:11.631613	      0      1192834      9898328
16:56:11.625617	      0      1202816     10003672
17:05:11.633050	      0      1202816     10097000
17:10:11.628212	      0      1212857     10146716
17:21:11.626347	      0      1222839     10252060
17:25:11.633974	      0      1222839     10295720
17:30:11.634066	      0      1232821     10345388
17:35:11.633143	      0      1242862     10395104
17:40:11.633428	      0      1252844     10444772
17:51:11.627113	      0      1262826     10550116
17:55:11.635717	      0      1262826     10593776
18:00:11.634705	      0      1272808     10643444
18:05:11.635003	      0      1282879     10693184
18:15:11.631120	      0      1292861     10792520
18:20:11.629196	      0      1302843     10842188
18:25:11.634398	      0      1312884     10891904
18:36:11.627676	      0      1322866     10997248
18:45:11.631939	      0      1322866     11090576
18:50:11.632997	      0      1332937     11140316
18:55:11.633850	      0      1342919     11189984
19:00:11.629179	      0      1352871     11239628
19:05:11.632507	      0      1362853     11289296
19:10:11.629368	      0      1372864     11338988
19:15:11.632009	      0      1382935     11388728
19:26:11.627027	      0      1392917     11494072
19:35:11.635457	      0      1392917     11587400
19:40:11.634449	      0      1402958     11637116
19:51:11.627406	      0      1412940     11742460
20:00:11.633982	      0      1412940     11835788
20:05:11.630760	      0      1422981     11885504
20:10:11.633435	      0      1433208     11935412
20:15:11.630766	      0      1443250     11985128
20:20:11.633131	      0      1453232     12034796
20:25:11.634528	      0      1463214     12084464
